"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer_Name","Mouser Part Number","Mouser Price/Stock"
"BT301","1","CR2302","","","","Battery:Battery_Panasonic_CR2032-HFN_Horizontal_CircularHoles","~","","",""
"C201,C202,C203,C204,C205,C206","6","2200","","","","SamacSys_Parts:C731U222MSVDBAWL35","https://search.kemet.com/component-documentation/download/datasheet/C731U222MSVDBAWL35.pdf","KEMET","80-C731U222MSVDBWL35","https://www.mouser.co.uk/ProductDetail/KEMET/C731U222MSVDBAWL35?qs=IPgv5n7u5Qbcfu31hG8%252BLA%3D%3D"
"C207,C208,C209,C210","4","2000","","","","Capacitor_THT:CP_Radial_D22.0mm_P10.00mm_SnapIn","~","","",""
"C211,C213,C214","3","330","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","",""
"C212,C215","2","220","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","",""
"C216,C217","2","180","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","",""
"C301","1",".5F","","","","Capacitor_THT:DX_5R5VxxxxU_D11.5mm_P5.00mm","~","","",""
"C302,C304","2","100n","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P15.00mm_Horizontal","","","",""
"C303","1","47","","","","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","",""
"C305","1","0.1","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P15.00mm_Horizontal","","","",""
"C306","1","47","","","","","~","","",""
"C307","1","0.1","","","","","","","",""
"C401","1","220p","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","","","",""
"D201","1","GBU6A","","","","Diode_THT:Diode_Bridge_Vishay_GBU","http://www.vishay.com/docs/88656/gbu6a.pdf","","",""
"D202,D301,D313,D314","4","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","",""
"D203,D204","2","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","",""
"D302,D303,D304,D305","4","SS38","","","","Diode_SMD:D_SMA","https://www.microdiode.com/uploadfiles//PDF/SS32-THRU-SS3200-SMA.pdf","","",""
"D306,D307,D308,D309,D310,D311,D312","7","LED","","","","LED_THT:LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm","~","","",""
"D401,D402,D403,D404","4","1N4148W","","","","Diode_THT:D_DO-15_P10.16mm_Horizontal","https://www.vishay.com/docs/85748/1n4148w.pdf","","",""
"F301,F302","2","0805L010","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","",""
"FB301,FB302","2","Bead","","","","Ferrite_THT:LairdTech_28C0236-0JW-10","~","","",""
"J201","1","Line","","","","DH_Hardware:Amp Faston 250 THT","~","","",""
"J202","1","Earth","","","","DH_Hardware:Amp Faston 250 THT","~","","",""
"J203","1","Neutral","","","","DH_Hardware:Amp Faston 250 THT","~","","",""
"J204","1","44472-0453","","","","SamacSys_Parts:44472-04YY","https://componentsearchengine.com/Datasheets/1/44472-0453.pdf","Molex","538-44472-0453","https://www.mouser.com/Search/Refine.aspx?Keyword=538-44472-0453"
"J301","1","Ref Divider","","","","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","","",""
"J302","1","GPS ANT","","","","Connector_Coaxial:SMA_Amphenol_901-144_Vertical","~","","",""
"J303","1","Encoder","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","",""
"J304","1","Ref Select","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","",""
"J305","1","Ref Range","","","","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","",""
"J306","1","GPS Module","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","",""
"J307","1","LCD","","","","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~","","",""
"J308","1","RF 50 Ohm","","","","Connector_Coaxial:SMA_Amphenol_901-144_Vertical","~","","",""
"J309","1","RF TTL","","","","Connector_Coaxial:SMA_Amphenol_901-144_Vertical","~","","",""
"J310","1","1PPS TTL","","","","Connector_Coaxial:SMA_Amphenol_901-144_Vertical","~","","",""
"J311","1","ICSP","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","",""
"J401,J402,J405","3","OCXO","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"J403","1","OCXO Signal","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"J404","1","OCXO Voltage","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"JP201","1","Tie","","","","","~","","",""
"L201","1","330uH","","","","DH_Inductors:Bourns PM5022","https://www.mouser.com/datasheet/3/40/1/pm5022_series.pdf","","",""
"L202","1","47uH","","","","DH_Inductors:Bourns PM5022","~","","",""
"L203","1","68uH","","","","DH_Inductors:Bourns PM5022","~","","",""
"L204,L205,L206","3","3.3uH","","","","DH_Inductors:Bourns SDE04030","https://www.mouser.com/catalog/specsheets/Bourns_9-3-2025_SDE0403AT_Datasheet.pdf,~","","",""
"L301","1","1 uH","","","","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC","~","","",""
"Q301","1","2N3904","","","","Package_TO_SOT_THT:TO-92L_HandSolder","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","",""
"R201,R202","2","4.7K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R203,R309","2","2.2K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R204,R205,R206","3","1","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R207","1","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R208","1","22K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R209","1","47K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R301","1","3.3","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R302,R303,R304,R305","4","51.1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R306","1","4.7K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"R307,R315,R316,R317,R318,R319,R320,R321","8","330","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R308,R312,R313","3","150","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R310,R314","2","8.55","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R311","1","142","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","",""
"R401","1","470","","","","","~","","",""
"R402,R403,R404,R405","4","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"R406","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","",""
"RT201,RT202","2","N10SP005M","","","","SamacSys_Parts:N10SP005M","https://www.yageo.com/upload/media/product/productsearch/datasheet/cpc/ntc/SP_1.pdf","YAGEO","603-N10SP005M","https://www.mouser.co.uk/ProductDetail/YAGEO/N10SP005M?qs=DRkmTr78QARsu2IwnsFFfg%3D%3D"
"RV201,RV202,RV203","3","150V","","","","SamacSys_Parts:MOV20D241KKTR","https://www.bourns.com/docs/product-datasheets/mov20d.pdf","Bourns","652-MOV-20D241KKTR","https://www.mouser.com/ProductDetail/Bourns/MOV-20D241KKTR?qs=ST9lo4GX8V1zjVcH%2FsSYdQ%3D%3D"
"RV301","1","1K","","","","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","","",""
"SW201","1","SW_DPST","","","","","~","","",""
"T201","1","B82732R2142","","","","SamacSys_Parts:B82732R2142B030","https://product.tdk.com/system/files/dam/doc/product/emc/emc/line-filter/data_sheet/30/db/ind_2008/b82732r_w.pdf","","",""
"T202","1","14A-56-28","","","","Transformers_Signal:14A-56","","","",""
"TP201","1","Gnd","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP202","1","+19.8","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP203","1","-19.8","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP204","1","-12","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP205","1","+3.3","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP206","1","+5","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP207","1","+12","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP301","1","Clock","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP302","1","VRef","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP303","1","VCO","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP304","1","1PPS","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"TP305","1","RF","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","~","","",""
"U201","1","LM7912","","","","Package_TO_SOT_THT:TO-220-3_Vertical","hhttps://www.onsemi.com/pub/Collateral/MC7900-D.PDF","","",""
"U202","1","LM2574N-3.3","","","","Package_DIP:DIP-8_W7.62mm","http://www.national.com/ds/LM/LM2574.pdf","","",""
"U203","1","LM2596T-5","","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf","","",""
"U204","1","LM2596T-12","","","","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","http://www.ti.com/lit/ds/symlink/lm2596.pdf","","",""
"U301","1","DAC8571IDGK","","","","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/dac8571.pdf","","",""
"U302","1","NEO-M8M","","","","RF_GPS:ublox_NEO","https://content.u-blox.com/sites/default/files/NEO-M8-FW3_DataSheet_UBX-15031086.pdf","","",""
"U303,U304","2","OP07","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/OP07.pdf","","",""
"U305","1","TXS0108EPW","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","www.ti.com/lit/ds/symlink/txs0108e.pdf","","",""
"U306","1","GALI-52","","","","Package_TO_SOT_SMD:SOT-89-3","https://www.minicircuits.com/pdfs/GALI-52+.pdf","","",""
"U307,U308,U402","3","74LVC1G17","","","","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://www.ti.com/lit/ds/symlink/sn74lvc1g17.pdf","","",""
"U309","1","MCP23017_SO","","","","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","https://ww1.microchip.com/downloads/aemDocuments/documents/APID/ProductDocuments/DataSheets/MCP23017-Data-Sheet-DS20001952.pdf","","",""
"U310","1","24AA02-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21709J.pdf","","",""
"U311","1","PIC18F27Q43","","","","Package_SO:SOIC-28W_7.5x18.7mm_P1.27mm","","","",""
"U401","1","ADCMP600","","","","Package_TO_SOT_SMD:SOT-23-5","","","",""
"X401","1","IsoTemp 131","","","","DH_OCXO:ISOTEMP 131","","","",""
"X402","1","Bliley N47/NV47","","","","DH_OCXO:Bliley N47","","","",""
"X403","1","IsoTemp 143N","","","","DH_OCXO:ISOTEMP 143N","","","",""
"X404","1","VECTRON C4550A","","","","DH_OCXO:C4550-OCXO","","","",""
"X405","1","IsoTemp 143A","","","","DH_OCXO:ISOTEMP 143A","","","",""
"X406","1","Oscilloquartz 8663","","","","DH_OCXO:OQ8663","","","",""
